Filename                                                                                       Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/asn1_par.i                                            279               279     0.00%           5                 5     0.00%         289               289     0.00%         210               210     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/asn_mime.i                                            647               647     0.00%          25                25     0.00%         665               665     0.00%         330               330     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/asn_moid.i                                             45                44     2.22%           4                 3    25.00%          65                62     4.62%          24                24     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/asn_pack.i                                             66                66     0.00%           6                 6     0.00%         104               104     0.00%          48                48     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/bio_asn1.i                                            142               142     0.00%          18                18     0.00%         262               262     0.00%         104               104     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/bio_ndef.i                                             42                42     0.00%           5                 5     0.00%          96                96     0.00%          26                26     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/d2i_pr.i                                               69                69     0.00%           2                 2     0.00%          71                71     0.00%          34                34     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/d2i_pu.i                                               33                33     0.00%           1                 1     0.00%          45                45     0.00%          28                28     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/evp_asn1.i                                             55                55     0.00%           4                 4     0.00%         103               103     0.00%          34                34     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/f_enum.i                                              103               103     0.00%           2                 2     0.00%         117               117     0.00%          72                72     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/f_int.i                                               109               109     0.00%           2                 2     0.00%         121               121     0.00%          76                76     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/f_string.i                                            100               100     0.00%           2                 2     0.00%         114               114     0.00%          68                68     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/i2d_pr.i                                               11                11     0.00%           1                 1     0.00%          13                13     0.00%           8                 8     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/i2d_pu.i                                                5                 5     0.00%           1                 1     0.00%          13                13     0.00%           8                 8     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/n_pkey.i                                              108               108     0.00%          13                13     0.00%         191               191     0.00%          64                64     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/nsseq.i                                                 7                 7     0.00%           5                 5     0.00%          21                21     0.00%           2                 2     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/p5_pbe.i                                               36                36     0.00%           6                 6     0.00%          65                65     0.00%          22                22     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/p5_pbev2.i                                             97                97     0.00%          11                11     0.00%         149               149     0.00%          60                60     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/p8_pkey.i                                              49                49     0.00%           7                 7     0.00%          73                73     0.00%          34                34     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/t_bitst.i                                              26                26     0.00%           3                 3     0.00%          35                35     0.00%          18                18     0.00%
