Filename,Regions,Missed,Regions,Cover,Functions,Missed,Functions,Executed,Lines,Missed,Lines,Cover,Branches,Missed,Branches,Cover
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/async/arch/async_posix.h,10,10,0.00%,1,1,0.00%,12,12,0.00%,6,6,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/async/async.c,261,261,0.00%,20,20,0.00%,297,297,0.00%,112,112,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/async/async_err.c,3,0,100.00%,1,0,100.00%,9,0,100.00%,2,1,50.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/async/async_wait.c,103,103,0.00%,8,8,0.00%,146,146,0.00%,60,60,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bio/b_addr.c,442,442,0.00%,28,28,0.00%,564,564,0.00%,238,238,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bio/b_dump.c,65,65,0.00%,6,6,0.00%,80,80,0.00%,46,46,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bio/b_print.c,631,484,23.30%,12,7,41.67%,678,505,25.52%,458,347,24.24%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bio/b_sock.c,137,136,0.73%,12,11,8.33%,176,174,1.14%,54,54,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bio/b_sock2.c,180,180,0.00%,6,6,0.00%,150,150,0.00%,66,66,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bio/bf_buff.c,343,343,0.00%,9,9,0.00%,371,371,0.00%,186,186,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bio/bio_err.c,3,0,100.00%,1,0,100.00%,9,0,100.00%,2,1,50.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bio/bio_lib.c,464,308,33.62%,54,41,24.07%,518,366,29.34%,256,181,29.30%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bio/bio_meth.c,72,63,12.50%,26,24,7.69%,130,111,14.62%,20,15,25.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bio/bss_file.c,9,9,0.00%,9,9,0.00%,27,27,0.00%,0,0,-
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bio/bss_mem.c,200,60,70.00%,14,0,100.00%,244,73,70.08%,112,50,55.36%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bio/bss_null.c,33,33,0.00%,6,6,0.00%,39,39,0.00%,26,26,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bio/bss_sock.c,96,96,0.00%,10,10,0.00%,137,137,0.00%,60,60,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/blake2/blake2_impl.h,26,26,0.00%,8,8,0.00%,94,94,0.00%,12,12,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/blake2/blake2b.c,370,370,0.00%,7,7,0.00%,140,140,0.00%,24,24,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/blake2/blake2s.c,316,316,0.00%,7,7,0.00%,137,137,0.00%,24,24,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/blake2/m_blake2b.c,4,4,0.00%,4,4,0.00%,12,12,0.00%,0,0,-
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/blake2/m_blake2s.c,4,4,0.00%,4,4,0.00%,12,12,0.00%,0,0,-
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bn/asm/x86_64-gcc.c,653,69,89.43%,10,1,90.00%,356,39,89.04%,34,3,91.18%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bn/bn_add.c,49,5,89.80%,4,0,100.00%,122,5,95.90%,28,3,89.29%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bn/bn_blind.c,193,67,65.28%,14,6,57.14%,196,80,59.18%,114,55,51.75%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bn/bn_ctx.c,130,20,84.62%,14,0,100.00%,154,20,87.01%,56,13,76.79%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bn/bn_div.c,97,11,88.66%,3,0,100.00%,131,14,89.31%,52,9,82.69%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bn/bn_err.c,3,0,100.00%,1,0,100.00%,9,0,100.00%,2,1,50.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bn/bn_exp.c,773,157,79.69%,10,0,100.00%,810,150,81.48%,482,161,66.60%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bn/bn_exp2.c,168,168,0.00%,1,1,0.00%,148,148,0.00%,116,116,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bn/bn_gcd.c,322,176,45.34%,4,1,75.00%,348,180,48.28%,228,145,36.40%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bn/bn_intern.c,100,39,61.00%,8,3,62.50%,119,46,61.34%,50,17,66.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bn/bn_kron.c,76,20,73.68%,1,0,100.00%,74,15,79.73%,50,18,64.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bn/bn_lib.c,571,191,66.55%,55,11,80.00%,687,239,65.21%,284,124,56.34%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bn/bn_local.h,17,1,94.12%,1,0,100.00%,9,3,66.67%,4,1,75.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bn/bn_mod.c,162,49,69.75%,13,3,76.92%,196,45,77.04%,92,35,61.96%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/bn/bn_mont.c,183,30,83.61%,12,0,100.00%,238,34,85.71%,96,32,66.67%
